cents,sethares
0,0.3017064445584875
1,0.6730344147947128
2,0.7402127686922765
3,0.804465537566926
4,0.8653776804905573
5,0.9239140289404812
6,0.9808042699759155
7,1.034208214623005
8,1.0855655096606336
9,1.1342378406912765
10,1.1808648788591367
11,1.224894636183544
12,1.26735197691592
13,1.3079113998906209
14,1.3461698285437542
15,1.3833804814006732
16,1.4180658881472603
17,1.4513860639962062
18,1.482709393104319
19,1.5122186427675526
20,1.5408084351896396
21,1.5673902288947816
22,1.5932459941983634
23,1.6170270159557578
24,1.6398511486203327
25,1.661059419425808
26,1.6810358539725645
27,1.7001488261858608
28,1.717735063177505
29,1.7349507760430913
30,1.75058596558577
31,1.7651677952585105
32,1.7787557191640924
33,1.7914412058528661
34,1.803620437448646
35,1.814374839960301
36,1.8245329099295777
37,1.8335967629017507
38,1.8421379129095037
39,1.8496988966961052
40,1.8569974028222116
41,1.8633097430634018
42,1.8687637276154876
43,1.8737253126106836
44,1.8782824585089153
45,1.881839400006573
46,1.884936957832307
47,1.8873614275227313
48,1.8892894596894725
49,1.8909126984295164
50,1.891779812844516
51,1.8920479410330202
52,1.8918995629908444
53,1.8914681972718337
54,1.8903421606863466
55,1.8887250591039724
56,1.8869277350336227
57,1.8849666968967587
58,1.882599505419707
59,1.8798989453418546
60,1.8770227866209035
61,1.8740281857131318
62,1.8707586670325485
63,1.867069358703804
64,1.8634855605832144
65,1.8596678606067245
66,1.8556459359969852
67,1.8514619532267407
68,1.8470827772034597
69,1.8428081368718123
70,1.838130874806895
71,1.8333258053631143
72,1.8288222842489767
73,1.8237878096537572
74,1.8186756699454096
75,1.8139618677643912
76,1.8086998863172645
77,1.8032117778553671
78,1.7983985892909702
79,1.7931464470874823
80,1.7875187586126027
81,1.7821694007274957
82,1.7770622721884737
83,1.7715900595077514
84,1.7657963585922338
85,1.7603756660005274
86,1.75524381591785
87,1.749786994663777
88,1.7439442905099733
89,1.738069869451952
90,1.733178312280954
91,1.7278285655071883
92,1.7222038259083674
93,1.716227764994045
94,1.7106176994868947
95,1.7057435267320298
96,1.7005538835097715
97,1.695021705835931
98,1.6890383563237934
99,1.6828464047730547
100,1.6783945827053088
101,1.6735949634896898
102,1.6684116419075614
103,1.6628171858541818
104,1.6568077200385507
105,1.6506471735549286
106,1.646475667440769
107,1.6419932554134087
108,1.63709164354079
109,1.6317614465662391
110,1.6260715992985302
111,1.6200041920222774
112,1.614386559632486
113,1.610455165783818
114,1.6062310742925052
115,1.6015957606235205
116,1.596657032160616
117,1.5915133961104233
118,1.5859933077022368
119,1.5800368041134405
120,1.5755527977394292
121,1.5723319620293539
122,1.5685434550677098
123,1.5644632512308991
124,1.560093853233198
125,1.5554645910780087
126,1.5505737652101708
127,1.545138033952213
128,1.5393168885660957
129,1.5359345247964655
130,1.5334612637550644
131,1.5304340549528999
132,1.5270290788900072
133,1.5231424679550956
134,1.5192594656077252
135,1.515060097849391
136,1.5103998066160822
137,1.5053042639522158
138,1.4997593748380136
139,1.495807288056506
140,1.4942740125493545
141,1.4922273951405742
142,1.4897839292892419
143,1.4867948142044607
144,1.483315177081307
145,1.4799249929553016
146,1.4763711288602894
147,1.4722789250414976
148,1.4678465358810882
149,1.4627925032945601
150,1.4574208980616004
151,1.4534914908978087
152,1.4527569037055508
153,1.4517137621508807
154,1.450000192125235
155,1.4479595152439437
156,1.4452790873617491
157,1.442284451702957
158,1.4391630095574532
159,1.4362433819681881
160,1.4327044136400553
161,1.4288736274867841
162,1.424651629694112
163,1.4197972315984877
164,1.414548742006437
165,1.3623898495640416
166,1.4091317730215807
167,1.4092366791951538
168,1.408569747217797
169,1.4076287598313728
170,1.4060241070360178
171,1.4040920839969586
172,1.401851306967525
173,1.399025113563907
174,1.3968036093675795
175,1.3944023027319064
176,1.3914118493802496
177,1.3882280428840412
178,1.3845644984098449
179,1.38036606938495
180,1.3757423034298117
181,1.3704359301580753
182,1.3648456231016732
183,1.3634922206636815
184,1.3649798213242708
185,1.3660960824390602
186,1.3665709467759142
187,1.366466914120464
188,1.3660061328413358
189,1.364877702968976
190,1.3636002548804078
191,1.3619398505458258
192,1.3596960771806348
193,1.357713566496319
194,1.356396296233919
195,1.3544963864006692
196,1.351951524051316
197,1.3493262958906087
198,1.3463877344970359
199,1.3428256448649318
200,1.3387379803367534
201,1.3341368348922171
202,1.3289442262889777
203,1.3231844876457504
