cents,tonicity,normalized,smooth
0.0,0.5000081911413748,0.4996812838556124,0.499179924009637
0.5,0.499084486571066,0.49779519748658074,0.4996886858102447
1.0,0.4981652562140998,0.495918034705036,0.5001293078882841
1.5,0.4974785429683399,0.4945827500889529,0.5005710325492899
2.0,0.4967959190052324,0.49325549910580424,0.5010134853343068
2.5,0.4963417770861665,0.4924607057308355,0.5014557794985581
3.0,0.4958908886477626,0.49167200228580693,0.5018971688958778
3.5,0.4956766983623124,0.4914349675796931,0.5023366371141601
4.0,0.495464329148869,0.4912006847599714,0.5027731235348624
4.5,0.49551362305621427,0.49157642484895914,0.5032055493817752
5.0,0.49556242286659596,0.4919495156822806,0.5036326028350299
5.5,0.49592297090611,0.4930496908137051,0.5040529352256448
6.0,0.49627925752849206,0.4941384217487642,0.5044650483159037
6.5,0.4970405725285073,0.49617224770113055,0.5048677780255055
7.0,0.4977911897671265,0.49817959681387475,0.5052595164435645
7.5,0.4991137436031628,0.5015221247877706,0.505638949133642
8.0,0.5004138097376659,0.5048106315731724,0.506004429750779
8.5,0.5025930733720431,0.5101524135538558,0.5063547421945623
9.0,0.5047261058583297,0.5153846939100856,0.5066882770027167
9.5,0.5083159984597354,0.5240202905657629,0.507003912418121
10.0,0.5118063313183698,0.5324217628838964,0.5073001458528008
10.5,0.5092069143859255,0.5265896868928543,0.5075760525798636
11.0,0.5067592150592973,0.5211107459321445,0.5078615085068421
11.5,0.506138336885165,0.5198997607767964,0.5081540056394424
12.0,0.5055461215767432,0.5187543337403813,0.5084418632295128
12.5,0.5049719636687212,0.5176496838590393,0.5087233189478436
13.0,0.5044216855064002,0.5165994229257825,0.5089876375445254
13.5,0.5038905426497701,0.5155924675222888,0.5092338975249022
14.0,0.5033793641776053,0.5146307598647646,0.5094518627563124
14.5,0.5028893245911112,0.5137170494333744,0.5096414833729607
15.0,0.502415974037567,0.5128409412516112,0.5097923983744814
15.5,0.5019595894337323,0.5120030870742842,0.5099055173384603
16.0,0.5015173214373841,0.5111968323952661,0.5099694136383813
16.5,0.5010979816899988,0.5104427751087575,0.509986080382048
17.0,0.5006904421417814,0.5097149128617589,0.509941408894256
17.5,0.5003018485002034,0.5090299501447838,0.5098386890409357
18.0,0.4999232181471595,0.5083668985883454,0.5096583944009475
18.5,0.4995643341829359,0.5077486264087491,0.5094055819039939
19.0,0.49921384883858183,0.507148617721729,0.5090501061892698
19.5,0.49888223067327175,0.5065913426843102,0.5085997492267595
20.0,0.49855770095269636,0.5060492782034262,0.5080037490411335
20.5,0.49825225837587067,0.5055504704462244,0.5072747552142688
21.0,0.4979527859905709,0.5050642688079533,0.5066564499889739
21.5,0.49767131279457794,0.50461879024856,0.5061390011794095
22.0,0.4973948746171842,0.5041837412055445,0.50564778989463
22.5,0.49713478711487397,0.5037855715008496,0.5051816658191408
23.0,0.4968789597751147,0.5033960293456685,0.5047396449567598
23.5,0.4966389041326957,0.5030420223239856,0.5043207407398667
24.0,0.49640245062643856,0.5026951138884969,0.503923938225719
24.5,0.4961805250980701,0.5023808428067184,0.503548419449546
25.0,0.49596165040123175,0.502072390728652,0.5031931037476716
25.5,0.49575637693420505,0.5017944189711739,0.502857287959973
26.0,0.4955536899446502,0.5015211898093972,0.5025400668994531
26.5,0.49536372759308356,0.5012764011190841,0.5022408309940721
27.0,0.4951759590231571,0.5010354460518719,0.5019584502740712
27.5,0.49499962485338467,0.5008199248577163,0.5016924146044921
28.0,0.49482515661819604,0.5006074798354406,0.5014417662995191
28.5,0.49466124830270114,0.5004184337033848,0.5012060594381004
29.0,0.494498928647883,0.5002318244504438,0.5009843161869919
29.5,0.494346296103864,0.5000665829774765,0.5007761514165742
30.0,0.4941950182371179,0.4999032402293995,0.5005806347600592
30.5,0.4940528112853838,0.4997598338371709,0.5003974356654558
31.0,0.49391175920238695,0.4996178678504287,0.5002256283526296
31.5,0.49377880967091364,0.4994935837248117,0.5000649267567256
32.0,0.4936468473299074,0.4993703567418006,0.4999144619383897
32.5,0.4935224248735275,0.49926350522835494,0.49977399223398783
33.0,0.49339884605886775,0.4991573839530093,0.49964272664009596
33.5,0.4932816936325596,0.4990650444010961,0.49952045221620284
34.0,0.49316526578226966,0.49897316536741154,0.49940641246505435
34.5,0.49305517390917025,0.49889486528782306,0.4993004241013567
35.0,0.4929457020920461,0.4988167899670267,0.4992017911350214
35.5,0.4928417094410231,0.4987502996754013,0.49911036105377526
36.0,0.4927382492118007,0.4986838378128336,0.4990254853101739
36.5,0.49263982834085235,0.4986279415822716,0.4989470268071762
37.0,0.4925418644611703,0.49857190593815115,0.49887438167815934
37.5,0.4924486016187267,0.49852565367602647,0.49880743285191254
38.0,0.4923557304345373,0.498479117722781,0.498745636710264
38.5,0.4922670155121669,0.4984411003719858,0.4986888917248854
39.0,0.4921786365080758,0.49840267743860983,0.4986366970627009
39.5,0.49209400171180917,0.49837181847259915,0.49858896059646024
40.0,0.4920096547786587,0.49834044995907356,0.49854522339716123
