cents,sethares
0,0.7285073490900601
1,0.8105887155368285
2,0.8891149371957223
3,0.9642127328160507
4,1.036004735487645
5,1.1046096143989554
6,1.17014219286124
7,1.2327135627020365
8,1.2924311951270184
9,1.3493990481474922
10,1.403717670666743
11,1.4554843033163731
12,1.504792976130532
13,1.5517346031433812
14,1.5963970739925568
15,1.6388653426084399
16,1.6792215130670403
17,1.7175449226813766
18,1.7539122224042323
19,1.7883974546122683
20,1.8210721283399152
21,1.8520052920285865
22,1.8812636038548776
23,1.9089113996993194
24,1.9350107588150212
25,1.9596215672535677
26,1.9828015791035876
27,2.004606475595436
28,2.025089922123534
29,2.0443036232359337
30,2.0622973756392025
31,2.0791191192644485
32,2.0948149864389913
33,2.109429349206258
34,2.123004864834789
35,2.1355825195557414
36,2.1472016705665746
37,2.1579000863368436
38,2.167713985251019
39,2.1766780726209616
40,2.1848255760997963
41,2.1921882795270906
42,2.19879655523424
43,2.204679394836628
44,2.2098644385388804
45,2.2143780029772495
46,2.2182451076220633
47,2.2214894997621273
48,2.224133678090965
49,2.226198914914136
50,2.2277052769951227
51,2.2286716450560937
52,2.229115731948603
53,2.229054099507985
54,2.228502174103878
55,2.2274742608980653
56,2.2259835568196964
57,2.2240421622663664
58,2.2216610915387354
59,2.2188502820147495
60,2.2156186020683966
61,2.2119738577368238
62,2.2079227981381813
63,2.2034711196413928
64,2.1986234687879973
65,2.1933834439646334
66,2.1877535958236027
67,2.181735426447895
68,2.175329387255467
69,2.168534875636472
70,2.1613502303159113
71,2.1537727254325825
72,2.1457985633243193
73,2.137422866007847
74,2.129130515073409
75,2.1214711637296064
76,2.1133940035499847
77,2.104969795354842
78,2.0977916267928616
79,2.090179880459643
80,2.0821297165733994
81,2.0745600418906243
82,2.067613965200431
83,2.0602150025600494
84,2.052358373028378
85,2.045252747036127
86,2.038744296886656
87,2.0317650059749797
88,2.0243106545596716
89,2.016894573644832
90,2.0110772706450666
91,2.0047723315862025
92,1.997976699334431
93,1.9906860719718171
94,1.9840758728851406
95,1.9787551896621403
96,1.972928861894651
97,1.9665944396769963
98,1.9597482014031558
99,1.9525396539291013
100,1.9480577225085043
101,1.9430534820137273
102,1.937525881736832
103,1.9314725772001737
104,1.9248899263575334
105,1.917946718046866
106,1.91418723901386
107,1.9098891319916305
108,1.905052373190091
109,1.899675624311741
110,1.8937562303322901
111,1.8872902156672586
112,1.8814725521069442
113,1.8783662213807792
114,1.8747063888801683
115,1.8704937978478675
116,1.8657278597090663
117,1.860406653056863
118,1.854526921009007
119,1.8480840669323464
120,1.8439293343665548
121,1.8414754033174046
122,1.8384545441506928
123,1.8348681560463127
124,1.830716292939133
125,1.8259976634946962
126,1.8207096294472949
127,1.8148482022981163
128,1.8084080383696512
129,1.8055195557146133
130,1.803804982017446
131,1.8015098493358437
132,1.7986362801952338
133,1.7951850403818959
134,1.7911555398776793
135,1.7865458321521424
136,1.7813526118108551
137,1.7755712105970667
138,1.769195591742151
139,1.7651191101936976
140,1.7643262303972174
141,1.7629341577050686
142,1.76094599077488
143,1.758363455757024
144,1.7551869083287381
145,1.7514153340778957
146,1.747046347236179
147,1.7420761877598174
148,1.7364997167543528
149,1.7303104102382703
150,1.7235003512385227
151,1.7189026130155012
152,1.7186601530961174
153,1.7177880048907117
154,1.7162892377719734
155,1.7141655174997403
156,1.7114171079143994
157,1.7080428709546944
158,1.7049277173774655
159,1.7020468908808248
160,1.6985347783252462
161,1.6943887997441864
162,1.6896049632740495
163,1.6841778606419053
164,1.6781006609614815
165,1.67136510283078
166,1.6729817985856685
167,1.673977099426322
168,1.6743189910558232
169,1.6740123225403993
170,1.673060522224511
171,1.6714656015770082
172,1.6692281573571688
173,1.6663473721017514
174,1.6644901790074822
175,1.6625984587646558
176,1.6600618660518351
177,1.65687929014305
178,1.6530482041718149
179,1.6485646625760757
180,1.643423296860634
181,1.6376173096722477
182,1.6311384671816087
183,1.6302373550339082
184,1.6328942479746147
185,1.634879946951053
186,1.6362018203100999
187,1.636865810648668
188,1.6368764414130244
189,1.6362368218295757
190,1.6349486501708959
191,1.6330122153592297
192,1.630426396907964
193,1.6285047431190336
194,1.6275892992730896
195,1.6260227447577602
196,1.6238052050593255
197,1.6209353949626353
198,1.6174106173980152
199,1.6132267606236077
200,1.6083782937400986
201,1.6028582605330768
202,1.5966582716365405
203,1.589768495009409
204,1.58327607371504
205,1.5871822207298854
206,1.590387887988807
207,1.5929016353297862
208,1.594730576545008
209,1.5958803866718156
210,1.5963553076072683
211,1.5961581520501043
212,1.5952903057723582
213,1.5946366952848843
214,1.593613247544337
215,1.5919197889741141
216,1.5895548794451768
217,1.5877364061407369
218,1.5879182422719098
219,1.5874275902787998
220,1.5862661476468096
221,1.584434186198523
222,1.5819305527378955
223,1.578752668024398
224,1.5748965240757618
225,1.5703566797962851
226,1.5651262549257747
227,1.5591969223028388
228,1.5525588984343996
229,1.5452009323616733
230,1.5371102928111313
231,1.5282727536173433
232,1.531706055683672
233,1.5371333182806897
234,1.541820307048506
235,1.5457779147247377
236,1.5490155554893807
237,1.5515411747346217
238,1.5533612571378832
239,1.5544808330441027
240,1.554903483161871
241,1.5546313415760031
242,1.5537340564233513
243,1.5538254991435239
244,1.5532243112777961
245,1.551931030822626
246,1.5499447514747735
247,1.547263121100715
248,1.5452100428426931
249,1.5462560135682313
250,1.5466055476024358
251,1.5462618814162845
252,1.545226808944403
253,1.543500684022469
254,1.5414721066190729
255,1.5403581820898122
256,1.5385513907913653
257,1.536051069502705
258,1.5328551170416738
259,1.5289599929018898
260,1.5243607142149735
261,1.5190508510351128
262,1.5130225199415974
263,1.5062663759532051
264,1.4987716027466833
265,1.4905259011697594
266,1.4815154760377303
267,1.4741728376959649
268,1.4825566908317918
269,1.4901683927538245
270,1.4970245012105459
271,1.503140091820309
272,1.5085287742705915
273,1.513202706845814
274,1.5171726092962148
275,1.5204477740584372
276,1.523036075837152
277,1.5249439795551525
278,1.5261765466779782
279,1.526737439917493
280,1.5266289263171222
281,1.5258518787201245
282,1.5260763278748113
283,1.5265665072110608
284,1.5263925318603258
285,1.5255557881563704
286,1.524056274119743
287,1.5218925991384369
288,1.519061982032876
289,1.5155602475025098
290,1.5167471508685686
291,1.5186859284549208
292,1.519959395986065
293,1.520572448668657
294,1.5205286010719021
295,1.5198299915196274
296,1.5184773848848163
297,1.51647017378886
298,1.51525513575582
299,1.5149098562642889
300,1.5139103292304918
301,1.5122573567304607
302,1.509950375045459
303,1.5069874552064968
304,1.5033653019549236
305,1.4990792511184312
306,1.4941232653999914
307,1.4884899285757656
