cents,sethares
0,41.284561355879056
1,42.34555170943461
2,43.349542257607425
3,44.29905841522348
4,45.196518106308716
5,46.044235174511705
6,46.84442265349837
7,47.59919590118992
8,48.31057560155204
9,48.980490637497184
10,49.610780838302205
11,50.20319960480542
12,50.75941641549849
13,51.28101921649012
14,51.76951669818508
15,52.22634046138047
16,52.65284707536012
17,53.05032003043299
18,53.419971587239615
19,53.76294452502397
20,54.080313790954
21,54.37308805244793
22,54.64221115435434
23,54.888563482713046
24,55.112963236718016
25,55.31616761038749
26,55.49887388533967
27,55.66172043596523
28,55.80528764818007
29,55.93009875283728
30,56.036620574773394
31,56.12526419836328
32,56.1963855503495
33,56.2502859006206
34,56.28721228150236
35,56.307357826033936
36,56.31086202559516
37,56.29781090715758
38,56.26823713032962
39,56.22212000426672
40,56.15938542442257
41,56.07990572901477
42,55.98349947498167
43,55.869931133105055
44,55.73891070188079
45,55.590093239605004
46,55.42307831406309
47,55.23740936908522
48,55.03257300714721
49,54.80799818708126
50,54.56305533586369
51,54.29705537333445
52,54.009248648600334
53,53.698823786768045
54,53.36490644453457
55,53.009657693760346
56,52.71305521713566
57,52.417445327063454
58,52.184417767435285
59,51.95965146927156
60,51.78726181790132
61,51.614977843218625
62,51.50096885700299
63,51.36176899743479
64,51.30446697872997
65,51.21684422782851
66,51.17580779070151
67,51.14335249455553
68,51.09171079439881
69,51.11384782140867
70,51.105124981846345
71,51.10356225911362
72,51.14922394592495
73,51.16416626122173
74,51.18547717575945
75,51.255145290563846
76,51.2944687506443
77,51.3086377914067
78,51.40342753094151
79,51.46840175343317
80,51.50378511252773
81,51.563221376385236
82,51.65549011001072
83,51.718845150192536
84,51.75352009310567
85,51.821121578260104
86,51.91433273102819
87,51.979595012835674
88,52.01715516930091
89,52.0501224177534
90,52.147888065498044
91,52.218629557388596
92,52.26261097323679
93,52.28002736426771
94,52.316580621688615
95,52.39610707373832
96,52.449658092345615
97,52.47745097491436
98,52.47963558006422
99,52.461493743455065
100,52.52719993316636
101,52.56765459067044
102,52.58303306286045
103,52.57344436487393
104,52.538931349652316
105,52.48456174824987
106,52.51429277409855
107,52.51913868701962
108,52.4991689381155
109,52.454387119078426
110,52.384730970042696
111,52.29007229169177
112,52.20079901064202
113,52.169391234462886
114,52.11256783413884
115,52.03022304098584
116,51.98552110272441
117,51.96865619636958
118,51.9260329884517
119,51.857588977193785
120,51.84303585729337
121,51.86599134586492
122,51.86311209052496
123,51.83443468457908
124,51.81351293258731
125,51.84987643515579
126,51.860549417863716
127,51.84560964090319
128,51.80506801177506
129,51.83909435065209
130,51.89018819769231
131,51.91593723355017
132,51.9164505662108
133,51.891771076163096
134,51.93065574962853
135,51.972129322998384
136,51.98868638495574
137,51.980413453531106
138,51.94733146803429
139,51.95018581129263
140,52.00970111574658
141,52.044596686414906
142,52.05499272166116
143,52.04094439397151
144,52.002441928163286
145,52.014533028008266
146,52.04315051820442
147,52.04739971338957
148,52.027316290563505
149,51.982871174248
150,51.91397049571055
151,51.87185409778019
152,51.895260660193834
153,51.894030541082785
154,51.868166060546
155,51.817604381638176
156,51.74221740669827
157,51.64181157887583
158,51.5747624035161
159,51.53938064029319
160,51.485461822686176
161,51.486221734878455
162,51.46131704511804
163,51.41068920141271
164,51.33421288058049
165,51.23169580113234
166,51.243216400771935
167,51.229060534021464
168,51.18858954162384
169,51.12169282203835
170,51.02819196839187
171,50.958143751543794
172,50.89790930098095
173,50.81048892289016
174,50.78009794037645
175,50.753117879566794
176,50.698594954866955
177,50.7088318056848
178,50.715955193610945
179,50.695489860345134
180,50.64740634105349
181,50.57160559983235
182,50.46791888721031
183,50.48926865707818
184,50.58627028276935
185,50.655514569642385
186,50.69720921301125
187,50.711492522977885
188,50.69843362106113
189,50.658032537257206
190,50.70117124263476
191,50.722836718306716
192,50.71735183751431
193,50.735539838072135
194,50.79072910871109
195,50.819092794261806
196,50.820754705507134
197,50.889218550327115
198,50.95440775887798
199,50.99341738820868
200,51.00640918415677
201,50.99347792334224
202,50.95465156831977
203,50.88989132616613
204,50.82207630790363
205,50.96059808701299
206,51.073381368066514
207,51.16076691189539
208,51.22302960396462
209,51.260378855713846
210,51.27295891113418
211,51.2608490589407
212,51.22406375058645
213,51.24938664303971
214,51.279551616152915
215,51.285233317339824
216,51.266493839962465
217,51.2591030438265
218,51.305732442674326
219,51.32812618992817
220,51.32638017497085
221,51.300526372470515
222,51.330719824189075
223,51.372824041332954
224,51.391051739918026
225,51.38548517394174
226,51.35614323222176
227,51.30298147037294
228,51.225892050666246
229,51.124703589681694
230,50.99918091356285
231,50.849024720559974
232,50.88342165785548
233,50.93708412656892
234,50.965994640336056
235,50.97022960124792
236,50.94980084106374
237,50.90465561664961
238,50.834676511814706
239,50.73968124539493
240,50.71643259563055
241,50.687811702595546
242,50.63836393394319
243,50.67463961724094
244,50.685518099398415
245,50.67103768205122
246,50.631171012121314
247,50.56582503471794
248,50.51194202389377
249,50.53849151716363
250,50.53935432072715
251,50.51454149553365
252,50.46399798913105
253,50.387602546069175
254,50.30770523187855
255,50.29459555454211
256,50.255233125968154
257,50.1953922416308
258,50.21994191301029
259,50.22908896183935
260,50.28842551985937
261,50.321611241911825
262,50.32876528112423
263,50.30994022083248
264,50.265122161751776
265,50.194230713158646
266,50.09711888807646
267,50.00989105090081
268,50.14113237813915
269,50.24611467266403
270,50.325126359694295
271,50.37838954353261
272,50.406060317568695
273,50.40822897902167
274,50.38492014865298
275,50.33609279557435
276,50.31594539232772
277,50.303173780757504
278,50.3123985819967
279,50.36478769583655
280,50.39173842707599
281,50.39335317243697
282,50.44351875020626
283,50.50978084419941
284,50.55111338735027
285,50.567655590593596
286,50.55948208459573
287,50.526603029912266
288,50.46896413372647
289,50.38644657317105
290,50.39130773152454
291,50.400979051759236
292,50.38567726485466
293,50.34538534030607
294,50.28002142449657
295,50.26483881611392
296,50.23618904389319
297,50.182260711730265
298,50.158850395167285
299,50.16891512693743
300,50.153608140653816
301,50.112915617720084
302,50.06457775847598
303,50.0889918396044
304,50.087940791736614
305,50.11899739049257
306,50.1841310797008
307,50.224159070391906
308,50.239226939042496
309,50.22941559656011
310,50.19474141799261
311,50.13515627879708
312,50.05054749770736
313,49.940737686126404
314,49.805484503856526
315,49.644480320865966
316,49.59915606011948
317,49.781173815800834
318,49.937487759349
319,50.06852209011821
320,50.17463611609129
321,50.256124762372615
322,50.3132189866458
323,50.34608610206996
324,50.35483000798409
325,50.339491328671755
326,50.30004746032805
327,50.236412526264004
328,50.192524727567
329,50.19681572520353
330,50.176705620913
331,50.15978740654333
332,50.206553741999834
333,50.22901298974725
334,50.22724591332102
335,50.20126984823425
336,50.15103872604721
337,50.17586212000611
338,50.19119004424232
339,50.182291184903214
340,50.14915644172451
341,50.14398585249689
342,50.178806316167666
343,50.189432066147866
344,50.17590888092938
345,50.13821925411451
346,50.07628236811106
347,49.989953975943806
348,49.962444582537294
349,49.967748711476474
350,49.94841069099654
351,49.9043823722715
352,49.83555154923363
353,49.78754159678638
354,49.756279766088014
355,49.75258230757307
356,49.7874134795957
357,49.79718534238429
358,49.78193882702033
359,49.74165031975387
360,49.73628994153379
361,49.759561471132514
362,49.75777629470231
363,49.73094053051586
364,49.67899572258221
365,49.60181874606234
366,49.51934351958199
367,49.50646412906719
368,49.46794728632117
369,49.40370831851532
370,49.34304105097995
371,49.343206078583584
372,49.31738715522717
373,49.334755755470404
374,49.373903018081364
375,49.44562451880414
376,49.52088450530523
377,49.57080467959779
378,49.595559456655614
379,49.5952586254081
380,49.56994752601967
381,49.519607133961586
382,49.44415405098442
383,49.34344040297495
384,49.21725364457965
385,49.06531627035505
386,48.887285432098935
387,48.971505763045485
388,49.16145612047101
389,49.32567353887059
390,49.46460145358104
391,49.57861880281338
392,49.668040561685174
393,49.73311818391062
394,49.77403995165339
395,49.79093123394027
396,49.78385465392073
397,49.75281016514789
398,49.69773503694605
399,49.61850374882015
400,49.59438517113838
401,49.55377623306373
402,49.57006358526811
403,49.59729093635521
404,49.60021764255099
405,49.64357697170549
406,49.71405717600646
407,49.76062964039336
408,49.78344502791818
409,49.782591647735394
410,49.84486867033626
411,49.91173869993233
412,49.955353889439856
413,49.97585018684783
414,49.97330215334783
415,49.94772306918808
416,49.89906495031389
417,49.827218475797025
418,49.802278421754316
419,49.82647002597862
420,49.827324208956135
421,49.8048498807564
422,49.758994269578125
423,49.68964283391008
424,49.59661908485532
425,49.553266765944386
426,49.528067718695475
427,49.478789800947624
428,49.45999139069715
429,49.449415267296466
430,49.41457322623478
431,49.35538108992317
432,49.271691479823346
433,49.16329359613103
434,49.02991290555486
435,48.87121073679165
436,48.92078217339059
437,48.96623785263625
438,48.98621393476505
439,48.980758822153206
440,48.94985615096463
441,48.89342474590937
442,48.87468986688169
443,48.854652100787064
444,48.91640025893675
445,48.96199185809312
446,48.98214503244144
447,49.05059530467968
448,49.135771522878215
449,49.196033201447904
450,49.23156223532211
451,49.242476765848394
452,49.22883135427581
453,49.19061706316167
454,49.12776144577843
455,49.15196739746665
456,49.181916901918434
457,49.18727504359635
458,49.16807593806372
459,49.12429025095854
460,49.056483076186915
461,49.08004406456129
462,49.07886336936909
463,49.05296767830939
464,49.002320017865145
465,48.9921641805155
466,49.006001071274866
467,48.99505322534683
468,48.9649437350467
469,48.992041637104364
470,48.9944097653569
471,48.997352824225274
472,49.0657208512539
473,49.10965880989564
474,49.12931671927307
475,49.12478169644864
476,49.19893228489222
477,49.26243208988477
478,49.302202276788364
479,49.40484146955824
480,49.514457560042516
481,49.60112789829176
482,49.665120745693244
483,49.70664393795755
484,49.72584520376191
485,49.72281239573983
486,49.697573634094645
487,49.65009736301123
488,49.58029231993301
489,49.488007417667646
490,49.37303153917523
491,49.235093244789354
492,49.07386039151416
493,48.88893966393305
494,48.67987601615754
495,48.44615202413692
496,48.187187147541366
497,47.90233690031872
498,47.590891928917145
499,47.84274530729433
500,48.09570970009023
501,48.32260632782755
502,48.52401240068899
503,48.70044101466417
504,48.85234186551647
505,48.98010187144124
506,49.08404570512557
507,49.16443623581843
508,49.221474881908456
509,49.25530187439541
510,49.26599643153886
511,49.253576844855104
512,49.2180004765285
513,49.15916366819429
514,49.07690156094624
515,48.970987826305326
516,48.84113430779129
517,48.714909728621144
518,48.653085532504086
519,48.566469274963005
520,48.507073497099576
521,48.486690868721894
522,48.4410865095212
523,48.370147256361264
524,48.35253644538835
525,48.346294174641535
526,48.336884693764205
527,48.36744017235996
528,48.37253887392179
529,48.38813773471033
530,48.45727697932939
531,48.5012675818277
532,48.520248947870286
533,48.57299085192551
534,48.62960898855303
535,48.66164096702292
536,48.6692025735883
537,48.65939953770292
538,48.76146121641235
539,48.83941247152991
540,48.8934861830148
541,48.92385311831982
542,48.93062218057389
543,48.913840566928116
544,48.98810436643228
545,49.040734105495766
546,49.07019619186605
547,49.07659874469544
548,49.059989006871014
549,49.020353418388105
550,48.95761760118538
551,48.87164625541402
552,48.85834643110183
553,48.86639297330652
554,48.85102713827864
555,48.81222006765658
556,48.74988152100217
557,48.68698572212608
558,48.66491460586948
559,48.64273935089285
560,48.68959140351392
561,48.71267453201289
562,48.71207113496376
563,48.68780187976691
564,48.710559719456285
565,48.75347257633547
566,48.77288908934277
567,48.7688767665165
568,48.7414417978324
569,48.72333749807359
570,48.76503980051025
571,48.783363813342184
572,48.802282594745364
573,48.86120497453944
574,48.897057991182315
575,48.90995407728096
576,48.89994508754851
577,48.8670223765283
578,48.811116788228695
579,48.73209855764504
580,48.62977712403617
581,48.50390085571914
582,48.354156686032745
583,48.31741812897184
584,48.400460789882366
585,48.45937974557453
586,48.494316218681966
587,48.50534943012364
588,48.492496687737706
589,48.455713385143575
590,48.394892910793075
591,48.30986646706223
592,48.231250815110734
593,48.184786158933306
594,48.14656658805217
595,48.167404203097234
596,48.16343314002531
597,48.134698046249596
598,48.19701650057158
599,48.23463447453171
600,48.247663152031144
601,48.23615067103911
602,48.200082189623245
603,48.13937986074779
604,48.16807756860521
605,48.172137080128245
606,48.15153525703244
607,48.16939908201246
608,48.187479294940914
609,48.25644865148373
610,48.34204182425002
611,48.40353261910038
612,48.44111077321918
613,48.4549040218391
614,48.44497829015611
615,48.41133779548454
616,48.3539250597632
617,48.27262083242381
618,48.298799178846416
619,48.42629405798625
620,48.53016772393682
621,48.6107098301782
622,48.668148994034745
623,48.70265312349535
624,48.71432965571759
625,48.70322570748034
626,48.66932813775259
627,48.612563522436204
628,48.53279804122785
629,48.5138423614302
630,48.503411408655786
631,48.46973830585032
632,48.475528419968306
633,48.48275639182785
634,48.466735181037414
635,48.42743912573503
636,48.36478159762392
637,48.3330027501028
638,48.365517694359184
639,48.37454755455603
640,48.360121765429234
641,48.32220855594271
642,48.33072052083594
643,48.33359079563004
644,48.398896438661424
645,48.471608543987756
646,48.52118862139508
647,48.54778265803481
648,48.551476143879164
649,48.56847948300599
650,48.64030366648106
651,48.68950529337906
652,48.71621729237094
653,48.720512854417684
654,48.702405531059895
655,48.66184924566565
656,48.59873821763042
657,48.51458805610579
658,48.5206592135523
659,48.503800964829914
660,48.463962232951175
661,48.401031446644744
662,48.3148363628526
663,48.20514380083469
664,48.18154836534562
665,48.139781059151964
666,48.074037489482436
667,47.984138640047746
668,47.90792423627863
669,47.88514891253201
670,47.83771402008372
671,47.76549493472794
672,47.74840661661244
673,47.74277945904297
674,47.71213714904095
675,47.74357925684765
676,47.779814624421455
677,47.819032636550276
678,47.89299203354651
679,47.942428252733855
680,47.96749764881198
681,48.016686532224554
682,48.081150518132766
683,48.12170714172262
684,48.205581264241125
685,48.28698859818535
686,48.3451480850179
687,48.38025494528336
688,48.39244400769735
689,48.381789934899565
690,48.348307361572104
691,48.291950945102464
692,48.21261532886616
693,48.11013501809788
694,47.984284168212014
695,47.83477628532952
696,47.661263838658
697,47.46333778426826
698,47.24052699970053
699,46.99229762872597
700,46.71805233547926
701,46.41712946707006
702,46.120110054711496
703,46.45967157875262
704,46.772003479242514
705,47.057903308225086
706,47.31810400500754
707,47.553274924659156
708,47.76402277538299
709,47.95089246585354
710,48.11436786350768
711,48.254872464666136
712,48.372769977260276
713,48.46836481682559
714,48.541902516326715
715,48.59357005026795
716,48.62349607344394
717,48.6317510745745
718,48.61834744497332
719,48.58323946228725
720,48.52632318924847
721,48.44743628726778
722,48.36917273406312
723,48.33370175956823
724,48.2757181718793
725,48.20508547815919
726,48.18921724087521
727,48.15042901689844
728,48.08861081419197
729,48.00359226705091
730,47.963207905250606
731,47.91837267221137
732,47.84987093175026
733,47.86675742141378
734,47.86732578863089
735,47.8440886070267
736,47.846721080598556
737,47.892040150172285
738,47.9136274804352
739,47.91154436650679
740,47.88579070353224
741,47.951441303667366
742,47.99419218802658
743,48.01350978157869
744,48.009451351297365
745,47.98201318637303
746,47.955748862346034
747,47.996450445783054
748,48.01375890600944
749,48.00772375538217
750,47.978333566389
751,47.92551594314282
752,47.849137404078085
753,47.749003175685985
754,47.666250310467824
755,47.63206830077822
756,47.57357509094005
757,47.49772463490139
758,47.47833575194492
759,47.46677158524202
760,47.51491646528451
761,47.53849457871235
762,47.5375885908173
763,47.51221850531843
764,47.46234169400344
765,47.40725199118903
766,47.53879329369461
767,47.64597936217073
768,47.72911675805692
769,47.78845009405189
770,47.82416239168808
771,47.83637534939642
772,47.825149521373746
773,47.83374331060769
774,47.89180964053946
775,47.92667403355387
776,47.970335977529935
777,48.046686761400515
778,48.10033867088077
779,48.13146508273456
780,48.1401797433836
781,48.12653694309925
782,48.090531603335315
783,48.10366617898943
784,48.1637546201209
785,48.20164425659234
786,48.21744442403661
787,48.21120553184738
788,48.1829191247229
789,48.13251785810214
790,48.05987538743892
791,47.99334341498296
792,47.99251124007989
793,47.96909119353224
794,47.9230295112141
795,47.85421263983279
796,47.81320956644633
